"","id","month","mon_hrs_played","mon_fr_ref","sub","money_paid","sword","guild","sw_a_g"
"83",8,5,7.69471797961091,0,0,0,0,0,0
"84",8,6,10.5740980741601,0,0,0,1,0,0
"85",8,7,12.7481441404789,0,0,0,1,0,0
"86",8,8,14.4169959442904,0,0,0,1,0,0
"87",8,9,17.5609737909065,0,0,0,1,1,1
"88",8,10,17.5989558408153,0,0,0,1,1,1
"89",9,0,9.91439726535387,0,0,0,0,0,0
"90",9,1,10.6396690208546,0,0,0,0,0,0
"91",9,2,9.89770113965996,0,0,0,0,1,0
"92",9,3,12.3509708538261,0,0,0,0,1,0
"93",9,4,14.4143972653539,0,0,0,1,1,1
"94",9,5,16.4939244730239,0,0,0,1,1,1
"95",9,6,17.8415709671548,0,0,0,1,1,1
"96",9,7,18.4875644067558,0,0,0,1,1,1
"97",9,8,18.752521375695,0,0,0,1,1,1
"98",9,9,18.8541616070353,0,0,0,1,1,1
"99",9,10,18.8921436569442,0,0,0,1,1,1
"100",10,0,12.983873126502,0,0,0,0,0,0
"101",10,1,13.6570002299856,0,0,0,0,1,0
"102",10,2,14.056699424701,0,0,0,1,1,1
"103",10,3,15.4043459188319,0,0,0,1,1,1
"104",10,4,17.483873126502,0,0,0,1,1,1
"105",10,5,19.563400334172,0,0,0,1,1,1
"106",10,6,20.9110468283029,0,0,0,1,1,1
"107",10,7,21.5570402679039,0,0,0,1,1,1
"108",10,8,21.8219972368431,0,0,0,1,1,1
"109",10,9,21.9236374681834,0,0,0,1,1,1
"110",10,10,21.9616195180923,0,0,0,1,1,1
